u_id,감칠맛,걸쭉함,견과류_땅콩_잣향,고소함,곡물_옥수수_보리,기타_커피_캐러멜_토란,깔끔,꿀맛_당류,누룩,다양,단맛,독특,드라이,레몬_유자류_감귤류_자몽,매실류_파인애플,바나나_망고_멜론,바닐라_국화_매화_연꽃_유채꽃_꽃향,베리류_딸기,사과_배_감,스모키한,신맛,여운,열대과일,오디_복분자,오미자류,음료,인삼_생강강황_약재,자두_복숭아_체리,잔잔한,조화,진득,청_포도,청량,탄닌감,탄산,풀내음_나무_볏짚,허브_시트러스,화끈함
31,5,,,5,5,2,5,2,1.25,0.5,5,1.833333333,5,1.375,1.083333333,2.5,5,1,0.5,2.5,5,5,,1,,2,,0.833333333,5,0.625,5,,5,,,0.9375,1.583333333,1.25
32,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,
33,5,,,,5,,5,,,,5,,,,5,,,5,,,,,,,,,,,5,,,,5,,,,,
34,4,,,4,2,0.185185185,4,,4,4,4,1.574074074,0.37037037,0.333333333,0.37037037,,2.5,0.185185185,0.555555556,,4,1.342592593,,,,,4,,4,1.592592593,1.62037037,,4,,0.555555556,0.37037037,0.333333333,
35,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,
36,0.8,,,,,,,,3.3,0.8,4.15,0.45,,0.4,,,,0.45,0.85,,1.65,0.45,0.45,,0.45,,,,0.85,0.85,0.45,1.25,,,4.15,,0.4,
37,1.711607143,,,,1.445238095,,2.5,,0.714285714,1.047619048,5,2.5,,,2.5,,,1.366369048,0.666666667,0.666666667,2.5,0.69047619,,0.732142857,0.714285714,,,1.666666667,2.5,1.19047619,0.666666667,,1.53452381,0.714285714,1.428571429,,,0.732142857
38,2,,1,1.402380952,2,,2,,2.5,2.5,4.5,2.5,,0.982142857,2,0.714285714,,4.5,1.7,0.9,2.5,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,,,2,0.714285714,1.333333333,1.666666667,2,0.714285714,2.5,0.9,,1.307142857
39,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,
40,5,,0.5,2.5,5,,5,1.25,1.791666667,1.694444444,5,5,,2.083333333,1,,,,1.333333333,,5,1.479166667,1.666666667,,0.875,0.5,5,,2.233333333,1.138888889,,1,2.5,,1.125,,,1.25
41,5,,,5,5,,,,5,,5,,,5,,,,,,,5,,,,,,,,5,,,,,,,,,
42,5,,,2.5,,,2.5,,,5,5,2.5,,,,,,5,,,5,5,5,,,,,,1.666666667,1.666666667,,5,,5,4.472222222,,,2.5
43,,,,,,,4.5,,,,4.5,,,,,,,,,,,,,,,,,,,,4.5,,4.5,,,,,
44,3.5,0.409090909,0.582535885,1.65081108,1.5,0.349895718,1.5,0.20062978,1.5,1.260682738,3.5,2,1.5,0.732713777,0.73079552,0.372052509,0.454545455,2,0.422336728,0.413170163,3.5,0.955945809,0.436112133,0.626068376,0.354419703,2,0.330617409,0.412423833,1.5,1.5,0.838693762,2,3.5,2,0.891893633,2,0.556028401,0.443427187
45,3,,0.3125,3.8,1.8,0.334837963,3.8,0.470261438,2,1.8,3.9,2.7,1,1,0.9,0.247957516,0.316666667,0.51210512,0.482584423,0.666666667,2.9,1,0.242401961,0.15,0.15,0.45,0.548547567,0.25,2.8,0.836557734,1.001514842,0.28125,3,0.287683824,0.470585317,1,0.432291667,0.709180672
46,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,5,,5,,,,,,
47,5,,,5,5,,,,5,,5,,,5,,,,,,,5,,,,,,,,5,,,,,,,,,
48,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,5,5,,,,,,,,5,
49,4.5,0.51375969,,3.333333333,1.782638889,0.096511628,4.5,1,1.271395349,1.15377907,4.5,1.166666667,0.120639535,0.897432171,1.60377907,0.441860465,0.14127907,1.108139535,1.021447028,0.158139535,1.166666667,3.333333333,0.23255814,3.333333333,1.166666667,0.348837209,0.51627907,0.591085271,4.5,1.430523256,0.773546512,0.23255814,1.166666667,0.11627907,3.333333333,0.183139535,0.348837209,0.802364341
50,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,5,5,,,,,,,,5,
51,4.5,,,4.5,,,4.5,,4.5,,4.5,4.5,,4.5,,,,,,,4.5,4.5,,,,,,,4.5,,,,4.5,,,,,
52,5,,0.416666667,1.722222222,1.375,,2.641666667,,1.027777778,3.194444444,5,1.861111111,,2.833333333,1.166666667,2.5,,5,5,0.833333333,5,1.194444444,1.625,,0.75,,,0.625,2.183333333,1,2.416666667,3.446428571,2.475,,5,,5,1.666666667
53,4,0.625,,1.8515625,1.6875,,4,0.90625,4,1.5,4,1.6640625,,1.111111111,1.013888889,,,1.208333333,4,1.625,2.027777778,4,,0.625,,,1.666666667,0.833333333,4,,1.291666667,,4,0.625,1.145833333,1.208333333,,4
54,4,,,4,4,,,,4,,4,,,4,,,,,,,4,,,,,,,,4,,,,,,,,,
55,5,0.64625323,,2.5,2.5,0.098255814,5,1,1.273605574,0.996034053,5,1.023363095,0.122819767,1.129730759,2.5,0.441860465,0.095639535,2.5,0.850004614,0.179069767,1.33531746,2.5,0.23255814,2.5,0.633333333,0.348837209,0.51627907,0.591085271,5,1.140261628,1.464709302,0.99127907,2.5,0.11627907,2.5,0.216569767,0.348837209,1.048330011
56,2.5,0.454545455,0.340909091,1.501549328,1.22793347,0.227272727,1,0.263157895,0.856983368,1,2.5,1.243631807,0.232057416,0.611483254,0.669059011,0.446172249,0.227272727,0.605741627,0.802352472,0.766666667,2.5,0.913556619,0.374401914,1,1,1,0.263157895,0.458851675,1.5,1,0.834908293,1.5,1,0.603030303,0.797049442,0.563636364,0.531698565,0.692743222
57,2.5,,2.5,2.5,1.126190476,,1.521428571,,2.5,0.865079365,5,1.545634921,0.303571429,0.678571429,0.696428571,,0.357142857,1.011904762,0.785714286,0.5,2.5,1.023809524,,0.357142857,0.714285714,,1.25,,2.5,1.628968254,1.011904762,0.321428571,2.5,,2.5,0.303571429,,2.5
58,4.75,0.3125,0.3125,2.5,2.25,0.2756388,3.5,0.288935527,1.25,1.25,3.5,1.25,1.25,1.25,1,0.189028969,0.961979167,1,0.816460673,0.544070513,2.5,1.102977733,0.275562386,0.470592949,0.268173639,0.356578947,0.605125251,0.344242015,2.25,1.085625976,0.886566574,0.472067589,4.75,0.403335533,0.460879322,2.5,1.25,0.936840277
59,3.75,0.454545455,0.598484848,2,1.492977828,0.212594697,3.75,0.263157895,1.055750985,2,3.75,1.339704578,0.612074694,0.611516481,0.54981559,0.513307416,0.475063131,0.528022329,1.75,0.715104167,3.75,1.2181407,0.608552632,0.552083333,1,1.75,0.235745614,0.348325359,1.860160344,1.75,0.907032496,2,3.75,0.652525253,0.765433945,0.608636364,0.66208134,0.85329695
60,1.654113248,0.899267399,,2.5,2.5,1.025641026,2.5,0.793650794,5,0.626984127,5,0.72718254,0.471840659,0.635531136,0.443681319,2.5,1.25,,0.42979243,,2.5,1.081746032,0.498778999,0.571428571,,,0.192307692,,1.634259259,1.314652015,1.119454619,0.192307692,2.5,,2.5,,,0.657407407
61,5,0.75,,2.058974359,5,0.292467949,5,,5,5,5,1.594150641,1.012019231,0.308760684,5,1.003472222,5,0.783653846,5,0.59375,5,5,1.108974359,0.104166667,0.384615385,0.384615385,0.9375,,5,5,0.883293269,0.307692308,5,,1.08213141,1.430555556,,1.372395833
62,,,,,,,,,,,4,4,,,4,,,,,,4,,,,,,,,,,,,,,,,,
63,4.75,0.175,0.710526316,2.25,2.25,0.155263158,2.25,0.501547988,1.220641309,0.640747088,4.75,2.5,0.539816453,0.962552521,0.637799646,0.21130031,0.05,0.544098297,0.419091847,0.2,1.950084034,1.762146016,0.21130031,,0.454385965,0.210526316,0.747686619,,2.25,0.865750774,1.105282508,0.263157895,2.5,0.294117647,0.961607143,0.656097966,,0.599562878
64,2.375,,,2.5,1.625,,3.25,1,1.291071429,0.875,2.375,2.5,0.714285714,1.102380952,0.75,,1,0.75,0.964285714,,1.366190476,1.572380952,,1,1,,0.875,,3.25,1,,,2.375,,0.761904762,0.875,,0.875
65,3.5,,,3.5,3.25,,2.375,0.666666667,2.25,0.871660971,4.5,2.375,1.125,2.375,1.06031746,0.409090909,1.060606061,0.568421053,0.426368953,0.412280702,3.375,2.25,,,,,0.454545455,0.833333333,4.5,1.125,1.060063796,0.618421053,2.375,,0.47556391,1.125,1.125,1
66,5,0.388888889,0.694444444,5,5,2.5,1.681529582,0.888888889,0.991702742,1.479365079,5,5,0.888888889,1.621212121,0.584415584,0.48015873,0.935714286,,0.984848485,0.5,2.27010101,0.586772487,,0.785714286,,,0.777777778,,5,5,0.936026936,,0.81998557,,0.571428571,0.916666667,2.5,5
67,3.545454545,0.193749115,0.254364493,2.636363636,2.681818182,0.300379315,2.636363636,0.1833299,1.818181818,0.454545455,4.863636364,0.454545455,0.409090909,0.454545455,0.398865206,0.409090909,0.454545455,0.404629416,0.454545455,0.170770129,3.136363636,0.909090909,0.374407396,0.16402703,0.259903362,0.15450322,0.454545455,0.234880864,3.5,1.363636364,0.909090909,0.366849242,1.772727273,0.290204774,0.691967168,0.409090909,0.38690274,0.863636364
68,2.458333333,,1.113636364,5,5,0.272727273,5,1.472707848,1.368006993,1.044055944,5,1.105769231,1.3125,0.453962704,1.792613636,,0.579545455,1.890151515,0.994055944,0.838578089,1.692089161,5,,0.227272727,,,,0.769230769,5,1.310314685,5,1.237762238,2.166666667,,0.283216783,2,,1.590253497
69,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,5,,5,,,,,,
70,5,,,5,5,,,,5,,5,,,5,,,,,,,5,,,,,,,,5,,,,,,,,,
71,5,,,1.55625,1.411458333,0.1875,5,1.125,1.028125,1.354166667,5,5,0.71875,1.2625,0.869791667,0.932291667,,0.572916667,1.067708333,0.5,5,1.2703125,0.822916667,,5,,1.204166667,,5,1.247916667,1.276041667,0.1875,5,,1.227678571,0.71875,,0.989583333
72,5,,,,,,,,,,5,,,,,2.5,,,5,5,,,,,,,,,5,5,5,,,,2.5,,,5
73,4,4,1.428571429,1.827380952,4,0.714285714,4,,1.839285714,1.505952381,4,1.767857143,,,1.175595238,0.821428571,,1.086309524,4,,4,0.357142857,0.821428571,,0.357142857,,1.428571429,,4,1.428571429,4,,4,,4,,,1.428571429
74,5,0.625,,1.8515625,1.6875,,5,0.90625,5,1.5,5,1.6640625,,1.111111111,1.013888889,,,1.208333333,5,1.625,2.027777778,5,,0.625,,,1.666666667,0.833333333,5,,1.291666667,,5,0.625,1.145833333,1.208333333,,5
75,0.5,0.5,1.428571429,1.827380952,0.5,0.714285714,0.5,,1.839285714,1.505952381,0.5,1.767857143,,,1.175595238,0.821428571,,1.086309524,0.5,,0.5,0.357142857,0.821428571,,0.357142857,,1.428571429,,0.5,1.428571429,0.5,,0.5,,0.5,,,1.428571429
76,4,0.833333333,0.357142857,1.118587431,1.666666667,0.462079587,2.333333333,,1.666666667,0.833333333,4,1.5,0.833333333,0.543123543,0.666666667,0.812520813,0.382284382,0.546835109,1.416666667,0.454545455,4,0.833333333,0.833333333,0.5625,0.758356227,0.41958042,,,1.666666667,3.333333333,0.833333333,0.418269231,2.333333333,,1.416666667,0.393939394,1,0.358363858
77,4,,,4,4,,,,4,,4,,,4,,,,,,,4,,,,,,,,4,,,,,,,,,
78,3.5,0.642857143,,3.5,1.25,0.64828869,2.25,0.888095238,2.25,1.25,2.5,0.932490079,0.994642857,0.82718254,0.636819728,1.25,1.25,0.331746032,0.81960034,0.59375,2.5,2.25,0.491666667,0.275198413,0.15,0.582142857,0.675,0.633333333,2.5,1.25,0.931845238,0.3,3.5,,0.327232143,2.25,0.633333333,2.25
79,2.5,,,,,,,,,,2.5,,,,,2.5,,,2.5,2.5,,,,,,,,,2.5,2.5,2.5,,,,2.5,,,2.5
80,2.25,0.388888889,0.388888889,2.5,2.5,,4.75,0.944444444,0.869510582,2.5,2.25,2.5,0.579365079,0.908333333,1.924107143,0.388888889,1,2.25,0.696428571,,1.143134921,0.980634921,,2.25,1,,0.715277778,,4.75,0.694444444,0.444444444,,2.247134039,,0.738095238,0.875,,2.25
81,2.5,1.333333333,0.857142857,3.5,1,1.377380952,1,,3.5,0.857142857,3.5,1.177380952,0.714285714,1.660714286,1.125,1.5,,,,,2.5,1.571428571,0.857142857,,,,0.714285714,,1,2.5,1.62670068,,1.830782313,,1.9375,,,1.5
82,3.333333333,0.497685185,0.222222222,2.5,1.666666667,0.499470899,3.333333333,0.833333333,1.666666667,0.833333333,4.166666667,1.666666667,0.833333333,2.5,0.639646927,0.286389536,0.833333333,0.359210526,0.833333333,0.476933073,5,4.166666667,0.267307692,0.3875,0.486847104,0.317592593,0.32972028,0.657802198,3.333333333,0.47123355,0.833333333,0.520426065,2.5,0.625,0.693568552,0.63587963,0.833333333,2.5
83,4.5,,0.714285714,4.5,2.5,2,2,0.557142857,4.5,0.899603175,4.5,1.290029762,0.738095238,2.5,0.82172619,0.5,,0.714285714,0.541666667,0.5,4.5,1.229365079,0.738095238,,1.25,,0.714285714,1,2.5,2,2,1,2,,1.016666667,0.75,0.5,1.571428571
84,1.833333333,,,1.666666667,2,,1.888888889,1.666666667,1.666666667,,5,,,,2,,5,2,,,5,5,,,,,,,5,5,1.833333333,,2,,,,,
85,5,,,5,5,,,,5,,5,,,5,,,,,,,5,,,,,,,,5,,,,,,,,,
86,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,
87,2.678499356,1.093864469,,4,4,0.846153846,4,0.793650794,4,1.486772487,4,1.226438492,0.851724664,0.639194139,0.638507326,4,1.055555556,,0.631257631,,4,1.323148148,0.666056166,0.571428571,,0.714285714,0.192307692,0.982142857,2.248567019,1.096263736,1.382711204,0.192307692,4,,1.339285714,0.738095238,,1.123897707
88,5,,,,,,5,,,,5,,,,,,,,,5,,5,,,,,,,,,5,,5,,,,,
89,1.438988095,,1.333333333,0.357142857,1.375,,4,,1.535714286,,4,0.916666667,,1.043650794,1.333333333,,0.285714286,1.178571429,0.773809524,0.625,4,0.553571429,0.285714286,4,,,,4.666666667,1.812127976,1.460714286,0.482142857,1.691468254,4,4,1.636904762,,1.582589286,0.5
90,2.5,1.5,,2.5,5,,5,1,0.859821429,2.5,2.5,2.5,0.714285714,0.908333333,2.5,,1,2.5,1.098214286,,1.158952381,1.572380952,,1,1,,0.875,,5,1,1.5,1.75,2.5,,1.119047619,0.875,,1.196428571
91,4,0.11627907,0.5,2.5,1,0.419746951,4,0.820175439,0.5,0.5,3,3,0.282451834,1.071151717,1,0.319918401,0.23255814,0.552846911,1,0.391472868,3,0.5,0.183484292,0.21627907,0.5,0.5,2,0.348837209,2,0.5,0.87345475,1,2.5,0.158139535,1,0.249935778,0.294056848,0.707189582
92,4,0.569262039,0.570460705,2,1.308206363,0.445112179,3.9,0.517424432,0.897513277,2,2.9,1,0.54541836,0.721603079,0.574470029,0.239182692,0.32839318,1,1,1,2,1,0.439715612,0.432012195,0.387533875,0.222079589,0.268800813,0.315786388,2,1.123553667,0.9,1,1.9,,1,1,0.365853659,2
93,2.5,,,2.5,4.5,,,,4.5,,4.5,,,2.5,,,,,,,4.5,2,,,,,,,4.5,,,,,,1.5,,,2
94,4.75,,,1.638888889,2.5,,4.75,1,2.125,1.666666667,4.75,1.395833333,,1.125,2.5,,,2.5,1.458333333,2.25,1.708333333,2.25,,,,,,,2.5,1.666666667,2.25,,4.75,,1.25,,,
95,2.222222222,0.625,,1.96875,5,,2.5,1.0625,5,,5,1.739583333,,1.972222222,0.625,,,,2.5,,5,5,,0.625,,,,,5,,0.625,,2.5,0.625,1.208333333,,,5
96,1.666666667,0.373119683,0.504658385,1.666666667,1.666666667,0.628205128,1.666666667,0.294117647,1.666666667,1.042327272,5,0.927952117,0.151755853,0.390271493,0.410449631,1.666666667,0.307692308,0.624495283,0.689845236,0.565217391,1.666666667,0.56412565,1.666666667,,0.294117647,,0.274725275,,1.666666667,3.333333333,1.666666667,1.666666667,1.666666667,0.130434783,3.333333333,0.565217391,,0.635099804
97,5,0.642857143,,5,5,,2.619047619,,1.666666667,0.992063492,5,1.812380952,,0.76984127,,,1.166666667,0.983333333,0.633333333,1.482142857,1.7,5,0.3,,0.3,,,,2.006349206,1.007142857,5,0.333333333,5,,1.316666667,,,1.357142857
98,4.666666667,0.216140642,0.713178295,1.365079365,1.232142857,0.225223614,4.666666667,1.5,1.198412698,1.428571429,4.666666667,1.5,0.30546761,0.714285714,1.130952381,0.23618566,0.3989701,1.5,1.085378087,1.666666667,1.577380952,1.666666667,0.32279298,1.5,0.227719156,0.315238678,0.326652264,1.5,1.410714286,0.833183064,1.666666667,0.520449155,3.166666667,0.461161388,0.761343015,1.040117328,0.387475098,3
99,4,,,4,4,,4,,,,4,,,,,,,,,,,2.5,,,,,,,4,,,4,,,,,,
100,5,,,2.416666667,2.416666667,,5,,2.5,2.25,5,2.375,,2.5,,,,,,2.375,2.375,2.375,,,,,,,2.833333333,2.5,5,5,2.625,,2.5,,,2.5
101,1.666666667,,,1.666666667,3.333333333,,1.30952381,,4.833333333,,4.833333333,0.785714286,,1.666666667,1.428571429,,,1.285714286,,,3.333333333,1.666666667,,,,,,,3.333333333,,,,1.285714286,,1.5,,,1.666666667
102,2.2125,,,1.025,1.4625,,5,,,0.7,5,0.9,,0.8,1.875,,,0.875,0.7,0.7,0.9,,,,,,,,5,0.8,0.8,1.25,0.8375,,,0.975,0.8,0.975
103,5,2.5,5,5,1.635714286,,2.031349206,1,1.733333333,1.177248677,5,1.952050265,0.303571429,1.172619048,0.696428571,,0.357142857,1.448412698,1.650793651,0.5,5,1.023809524,,0.357142857,0.714285714,,1.166666667,1,5,1.51521164,1.607142857,0.321428571,5,,1.916666667,0.303571429,,5
104,5,,,5,5,,,,5,,5,,,5,,,,,,,5,,,,,,,,5,,,,,,,,,
105,5,,,,,,5,,,,5,,,,,,,,,5,,5,,,,,,,,,5,,5,,,,,
106,2,0.250447227,0.457857143,2,1.25983388,0.226511628,4.5,0.263157895,0.819070305,0.908049965,4.5,2,0.244373725,0.435903713,0.540570568,0.33746226,0.308586762,0.623881334,0.55946134,0.442754919,2.5,0.547834075,0.24692496,0.21627907,0.437576499,0.305997552,0.247858017,2.5,4.5,2.5,0.85401334,0.558264086,2,0.158139535,0.841136751,0.503045404,0.350433209,0.579040069
107,1.666666667,0.752232143,0.557692308,1.666666667,1.666666667,0.577380952,1.666666667,0.535714286,3.333333333,3.333333333,5,3.333333333,0.714285714,0.654876374,0.84241453,0.590567766,0.224358974,1.666666667,0.819589438,0.457509158,3.333333333,0.907934328,0.633623321,0.714285714,0.434065934,0.443681319,,0.486263736,1.813904151,0.804487179,1.666666667,0.874236874,1.338970925,0.714285714,3.333333333,0.407905983,0.269230769,0.596291209
108,5,,,,2,,5,5,,,5,,,5,2,,,2,,,5,5,,,,,,,5,,,,5,,,,,5
109,1.666666667,0.468514329,0.716761633,1.666666667,0.755555556,1.666666667,1.666666667,1.086495401,5,0.694444444,5,1.1,0.333748813,0.455526893,0.568249047,0.660694933,0.370192308,0.593647003,0.685149273,0.555555556,1.666666667,1.055555556,0.635608346,0.357877719,0.555555556,0.117402659,0.192307692,0.57977208,1.166666667,1.666666667,1.666666667,0.902777778,1.666666667,,3.333333333,0.401917142,0.384615385,0.694444444
110,1.25,1,1.166666667,1.25,1.25,1.166666667,1.148148148,0.333333333,3.5,0.85,4.75,0.82037037,0.333333333,0.4,,1.25,1.25,0.45,0.875,,1.25,0.853703704,0.808333333,0.333333333,0.45,,,,1.25,1.008333333,0.668518519,1.25,0.555555556,,3.5,,0.4,0.555555556
111,5,0.279807692,0.440804809,5,5,0.399073733,5,0.568697814,1.393567069,0.78338542,5,5,0.89834697,0.981851217,0.596268306,0.21130031,0.552272727,0.628335796,0.566885303,0.270629371,2.127438204,5,0.21130031,0.613636364,0.61300045,0.210526316,0.669100668,,5,0.822450854,1.708980651,0.222488038,5,0.294117647,0.600846237,0.763279065,0.384615385,0.712710197
112,2.5,0.472689076,0.428571429,1.25,2.5,,1.25,0.504201681,2.5,0.553221289,5,1.25,1,1.25,2.5,0.619747899,,1.25,0.472689076,,2.5,0.758343337,0.325630252,,0.294117647,,,1.083333333,2.5,0.546498599,0.872689076,0.709150327,1.25,,1.25,0.678571429,0.841269841,0.932142857
